index;unit;eff050_cab0000;eff050_cab1000;eff050_cab2000;eff050_cab3000;eff050_cab3800;eff050_cab4000;eff050_cab5000;eff065_cab0000;eff065_cab1000;eff065_cab2000;eff065_cab3000;eff065_cab3800;eff065_cab4000;eff065_cab5000;eff070_cab0000;eff070_cab1000;eff070_cab2000;eff070_cab3000;eff070_cab3800;eff070_cab4000;eff070_cab5000;eff075_cab0000;eff075_cab1000;eff075_cab2000;eff075_cab3000;eff075_cab3800;eff075_cab4000;eff075_cab5000;eff080_cab0000;eff080_cab1000;eff080_cab2000;eff080_cab3000;eff080_cab3800;eff080_cab4000;eff080_cab5000;eff085_cab0000;eff085_cab1000;eff085_cab2000;eff085_cab3000;eff085_cab3800;eff085_cab4000;eff085_cab5000;eff100_cab0000;eff100_cab1000;eff100_cab2000;eff100_cab3000;eff100_cab3800;eff100_cab4000;eff100_cab5000
Energy produced in Tennant Creek;GWh/a;15014,849259999999;15999,642440000001;17104,310980000002;18318,89774;19178,49085;19357,17241;20521,86311;15293,14076;16374,24129;17541,71385;18793,53173;19606,91755;19849,73877;21099,18705;15370,13722;16515,09233;17715,289930000006;18971,0826;19768,755350000003;19995,06631;21236,10445;15455,12156;16642,780179999998;17859,232640000002;19121,92379;19923,126269999997;20167,055519999998;21410,28604;15544,75637;16756,13306;18022,53196;19310,91086;20050,77603;20282,97485;21588,8806;15627,59848;16921,2953;18209,68297;19537,34231;20195,75466;20415,12282;21769,55545;15893,1485;17265,72725;18746,48375;20009,54693;20757,984170000003;20920,16969;22260,54401
Energy consumed in Australia;GWh/a;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249;0,00249
Energy sent to Singapore (start of cable);GWh/a;13461,59396;14170,09890526316;14915,893584487541;15700,940615250041;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,89358448754;15700,94061525004;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,893584487541;15700,940615250041;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,89358448754;15700,94061525004;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,893584487541;15700,940615250041;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,89358448754;15700,94061525004;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,893584487541;15700,940615250041;16358,624618538071;16527,305910789517;17397,164116620545
Energy consumed in Singapore;GWh/a;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396
Energy demand in Singapore;GWh/a;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999
Installed PV capacity (total);GW;14,171170000000002;15,10063;16,14323;17,28957;18,10086;18,2695;19,36875;11,10294;11,88783;12,73543;13,64425;14,234779999999999;14,41107;15,318179999999998;10,36178;11,13365;11,94277;12,78936;13,327110000000001;13,479679999999998;14,31633;9,72447;10,47175;11,23715;12,03165;12,53577;12,68925;13,4715;9,16956;9,88413;10,63116;11,39115;11,82758;11,96455;12,73488;8,676169999999999;9,39441;10,1097;10,84679;11,21233;11,33412;12,08608;7,50006;8,147789999999999;8,84656;9,44261;9,7958;9,87234;10,50487
Installed battery storage capacity (total);GWh;8,85919;10,951039999999999;12,61183;18,05892;23,25782;24,53913;30,72059;8,5212;10,52634;12,18453;17,68357;22,80173;23,99459;30,419159999999998;8,441180000000001;10,38774;12,04861;17,52295;22,60541;23,85144;30,33039;8,3595;10,25681;11,96124;17,35828;22,43987000000001;23,68225;30,218420000000002;8,27617;10,14102;11,85713;17,15006;22,32803;23,60531000000001;30,10881;8,20193;9,97325;11,76461;16,82416;22,17747;23,50535;30,00744000000001;7,99005;9,73707;11,55085;16,22897;21,70736;23,13164;29,79852
Installed cable capacity (total);GW;4,4400900000000005;3,737530000000002;3,6516;3,18816;2,83032;2,76243;2,44087;4,4171000000000005;3,69989;3,61487;3,14849;2,81213;2,7414099999999997;2,3900300000000003;4,41087;3,688930000000002;3,5997199999999996;3,14038;2,81115;2,73752;2,38299;4,40491;3,68421;3,58685;3,1383400000000004;2,80937;2,73463;2,37468;4,39957;3,6842099999999998;3,57442;3,1365100000000004;2,8070500000000003;2,73068;2,36768;4,3964300000000005;3,68421;3,55704;3,14546;2,8070500000000003;2,72745;2,36095;4,38096;3,6656;3,50985;3,1625400000000004;2,8014900000000003;2,7185200000000003;2,3403
Cable length;km;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0;3800,0
Allocation factor for Singapore;dimensionless;0,9999998150293682;0,999999824277898;0,9999998330640018;0,9999998414108004;0,9999998477867376;0,9999998493402592;0,9999998568732452;0,9999998150293682;0,9999998242778979;0,9999998330640018;0,9999998414108004;0,9999998477867376;0,9999998493402592;0,9999998568732452;0,9999998150293682;0,999999824277898;0,9999998330640018;0,9999998414108004;0,9999998477867376;0,9999998493402592;0,9999998568732452;0,9999998150293682;0,9999998242778979;0,9999998330640018;0,9999998414108004;0,9999998477867376;0,9999998493402592;0,9999998568732452;0,9999998150293682;0,999999824277898;0,9999998330640018;0,9999998414108004;0,9999998477867376;0,9999998493402592;0,9999998568732452;0,9999998150293682;0,9999998242778979;0,9999998330640018;0,9999998414108004;0,9999998477867376;0,9999998493402592;0,9999998568732452;0,9999998150293682;0,999999824277898;0,9999998330640018;0,9999998414108004;0,9999998477867376;0,9999998493402592;0,9999998568732452
PV capacity allocated to SG;GW;14,17116737874973;15,100627346485556;16,143227305113786;17,28956725806093;18,10085724480905;18,269497247521862;19,368747227813667;11,102937946282172;11,887827911045525;12,73542787399828;13,644247836169312;14,234777833277695;14,41106782883193;15,318177807558609;10,361778083375007;11,13364804357162;11,942768006321769;12,789357971745634;13,327107971437108;13,479677969154904;14,316327950950148;9,72446820125864;10,47174815988208;11,237148124115148;12,031648091910254;12,535768091889553;12,689248088240886;13,471498071867925;9,169558303900693;9,8841282631399;10,631158225276693;11,391148193486636;11,827578199685464;11,964548197423998;12,734878177297952;8,676168395163355;9,39440834919453;10,109698312327136;10,846788279816256;11,212328293334673;11,33411829240442;12,086078270158591;7,5000586127091635;8,147788568253214;8,846558523190676;9,442608502504038;9,795798508949323;9,872338512635814;10,504868496472048
Battery storage capacity allocated to SG;GWh;8,859188361310029;10,951038075660234;12,611827894631569;18,05891713605033;23,25781645985134;24,539126302941035;30,720585603061647;8,521198423828253;10,52633815028941;12,184527965963321;17,683567195576785;22,801726529274287;23,99458638498129;30,419155646204352;8,441178438629603;10,387738174644491;12,048607988653266;17,522947221049385;22,605406559156794;23,851436406548228;30,330385658909698;8,359498453738004;10,256808197651786;11,961238003238465;17,358277247164267;22,439866584354178;23,682246432038355;30,218415674935606;8,276168469151608;10,141018217998653;11,857128020618164;17,15005728018571;22,328026601377708;23,605306443630123;30,108805690623736;8,201928482883826;9,973248247479548;11,764608036063088;16,82415733186993;22,177466624294933;23,50534645869007;30,00743570513249;7,990048522075403;9,737068288981591;11,550848071747325;16,228967426260642;21,70735669585192;23,131636514993115;29,798515735034535
Cable capacity allocated to SG;GW;4,440089178713748;3,7375293432333727;3,651599390416509;3,1881594943922567;2,8303195691877585;2,762429583813012;2,440869650646198;4,417099182966223;3,699889349847554;3,6148693965480687;3,1484895006834908;2,8121295719565187;2,74140958697988;2,3900296579227627;4,41086918411859;3,6889293517734663;3,599719399077148;3,140379501969649;2,811149572105687;2,7375195875659464;2,3829896589303745;4,404909185221015;3,6842093526028754;3,5868494012256162;3,138339502293172;2,8093695723766268;2,7346295880013534;2,3746796601197566;4,3995691862087565;3,6842093526028754;3,5744194033006287;3,13650950258339;2,807049572729761;2,730679588596459;2,3676796611216453;4,3964291867895655;3,6842093526028754;3,557039406201977;3,1454595011640163;2,807049572729761;2,72744958908309;2,3609496620848884;4,380959189651061;3,6655993558730633;3,5098494140796856;3,1625394984553123;2,801489573576067;2,7185195904284813;2,340299665040456
Lifetime PV;a;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0
Lifetime battery;a;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0
Lifetime cable;a;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0
